,name,price,current_players,peak_players_today,date
0,Counter-Strike 2,0.0,1549382,1580514,2025-02-19
1,PUBG: BATTLEGROUNDS,0.0,729464,767838,2025-02-19
2,Dota 2,0.0,651859,651859,2025-02-19
3,NARAKA: BLADEPOINT,0.0,192764,206538,2025-02-19
4,Apex Legends™,0.0,184493,206251,2025-02-19
5,Grand Theft Auto V,29.98,136085,152770,2025-02-19
6,Marvel Rivals,0.0,131962,318993,2025-02-19
7,Wallpaper Engine,4.99,120212,124330,2025-02-19
8,Kingdom Come: Deliverance II,59.99,117434,150436,2025-02-19
9,Rust,39.99,116563,162779,2025-02-19
10,Banana,0.0,114177,160516,2025-02-19
11,Delta Force,0.0,84999,93466,2025-02-19
12,Path of Exile 2,27.75,75750,98034,2025-02-19
13,Stardew Valley,13.99,73487,80179,2025-02-19
14,War Thunder,0.0,71520,78363,2025-02-19
15,Palworld,28.99,56388,62949,2025-02-19
16,Football Manager 2024,59.99,55895,71400,2025-02-19
17,HELLDIVERS™ 2,39.99,54889,80618,2025-02-19
18,Tom Clancy's Rainbow Six® Siege,19.99,54432,77719,2025-02-19
19,Warframe,0.0,54420,61280,2025-02-19
20,Red Dead Redemption 2,59.99,53911,58929,2025-02-19
21,Monster Hunter: World,29.99,51552,56822,2025-02-19
22,EA SPORTS FC™ 25,42.0,50321,68524,2025-02-19
23,Baldur's Gate 3,59.99,48997,75135,2025-02-19
24,ELDEN RING,59.99,47785,53973,2025-02-19
25,Don't Starve Together,14.99,47179,51878,2025-02-19
26,Sid Meier’s Civilization® VI,59.99,45374,49425,2025-02-19
27,Crosshair X,7.99,43456,60354,2025-02-19
28,Dead by Daylight,7.99,42969,48669,2025-02-19
29,Black Myth: Wukong,59.99,42261,45177,2025-02-19
30,Overwatch® 2,0.0,41575,59332,2025-02-19
31,Hearts of Iron IV,49.99,41299,46479,2025-02-19
32,Call of Duty®,0.0,40093,63992,2025-02-19
33,Team Fortress 2,0.0,38447,52245,2025-02-19
34,Yu-Gi-Oh! Master Duel,0.0,38022,39183,2025-02-19
35,VRChat,0.0,38013,44151,2025-02-19
36,NBA 2K25,23.09,37810,41108,2025-02-19
37,DayZ,23.99,36562,57749,2025-02-19
38,Crab Game,0.0,35275,40052,2025-02-19
39,Destiny 2,0.0,33832,56476,2025-02-19
40,Sid Meier's Civilization VII,69.99,33817,49555,2025-02-19
41,Left 4 Dead 2,9.75,32874,41682,2025-02-19
42,Street Fighter™ 6,59.99,31783,34264,2025-02-19
43,The Sims™ 4,0.0,31427,43604,2025-02-19
44,Euro Truck Simulator 2,11.0,31261,43579,2025-02-19
45,tModLoader,0.0,30974,35427,2025-02-19
46,ARK: Survival Evolved,14.79,30571,33550,2025-02-19
47,Cyberpunk 2077,59.99,30315,34199,2025-02-19
48,Project Zomboid,19.5,28928,35754,2025-02-19
49,The Binding of Isaac: Rebirth,14.99,28729,33380,2025-02-19
50,Terraria,9.75,27749,38642,2025-02-19
51,7 Days to Die,43.99,27325,30459,2025-02-19
52,Once Human,0.0,26604,28658,2025-02-19
53,It Takes Two,39.99,25255,29148,2025-02-19
54,RimWorld,31.99,24305,26425,2025-02-19
55,ARK: Survival Ascended,24.74,23517,28851,2025-02-19
56,Limbus Company,0.0,23467,23467,2025-02-19
57,Mount & Blade II: Bannerlord,49.99,21749,23548,2025-02-19
58,The Elder Scrolls V: Skyrim Special Edition,39.99,21647,32187,2025-02-19
59,Kingdom Come: Deliverance,29.99,21633,31968,2025-02-19
60,Total War: WARHAMMER III,23.99,21442,24629,2025-02-19
61,Battlefield™ V,49.99,19958,22102,2025-02-19
62,Eternal Return,0.0,19689,20827,2025-02-19
63,Garry's Mod,9.99,19021,27693,2025-02-19
64,VTube Studio,0.0,18984,18984,2025-02-19
65,Battlefield™ 1,39.99,18870,21367,2025-02-19
66,OBS Studio,0.0,18742,19374,2025-02-19
67,"雀魂麻將(MahjongSoul)
(not available in your region)",0.0,18413,21096,2025-02-19
68,The Witcher 3: Wild Hunt,29.99,18370,21276,2025-02-19
69,SCUM,19.49,18190,18691,2025-02-19
70,DYNASTY WARRIORS: ORIGINS,79.99,17996,21178,2025-02-19
71,No Man's Sky,58.99,17982,24206,2025-02-19
72,Valheim,19.99,17857,33949,2025-02-19
73,Russian Fishing 4,0.0,17850,19178,2025-02-19
74,THRONE AND LIBERTY,0.0,17405,30297,2025-02-19
75,MIR4,0.0,17387,17387,2025-02-19
76,Farming Simulator 25,49.99,17364,35065,2025-02-19
77,Lost Ark,0.0,17092,25586,2025-02-19
78,Cookie Clicker,4.99,16865,17793,2025-02-19
79,Black Desert,9.99,16850,19309,2025-02-19
80,Age of Empires II: Definitive Edition,32.99,16607,21084,2025-02-19
81,Crusader Kings III,49.99,16388,21010,2025-02-19
82,Unturned,0.0,16342,21197,2025-02-19
83,Slay the Spire,22.99,15846,16802,2025-02-19
84,Balatro,13.99,15803,25028,2025-02-19
85,Factorio,32.0,15787,23495,2025-02-19
86,Europa Universalis IV,49.99,15504,19257,2025-02-19
87,Squad,48.99,15425,17072,2025-02-19
88,BeamNG.drive,22.5,15416,22019,2025-02-19
89,Hunt: Showdown 1896,29.99,14993,17332,2025-02-19
90,MONSTER HUNTER RISE,39.99,14852,16654,2025-02-19
91,Soundpad,4.99,14729,18980,2025-02-19
92,Dying Light 2 Stay Human: Reloaded Edition,30.0,14587,15744,2025-02-19
93,Goose Goose Duck,0.0,14513,19781,2025-02-19
94,Sid Meier's Civilization® V,29.99,14484,20018,2025-02-19
95,Counter-Strike,8.19,14052,17599,2025-02-19
96,PAYDAY 2,9.99,13941,23939,2025-02-19
97,FINAL FANTASY VII REBIRTH,69.99,13918,16116,2025-02-19
98,Stellaris,39.99,13743,14953,2025-02-19
99,IdleOn - The Idle RPG,0.0,13656,15690,2025-02-19
